Key	Tolerance	Rated Voltage	Rated Current	Rated Power	MFG PN	Digikey PN	Newark PN	Mouser PN
ADMP401					ADMP401ACEZ-RL7	ADMP401ACEZ-RL7CT-ND		
ADS7828					ADS7828E/250	296-12402-1-ND		
AVR_SPI_PRG_6PTH					67996-406HLF	609-3218-ND		
OPA344					OPA344NA/250	OPA344NACT-ND		
RESISTORR_0402:120					ERA-2AEB121X	P120DCCT-ND		
CAT809TSDI		3.08V			CAT809TSDI-T3	CAT809TSDI-T3CT-ND		
CAT809					CAT809TSDI-T3	CAT809TSDI-T3CT-ND		
DIODE_SMD603:3V		3V			CZRU52C3	641-1023-1-ND		
DIODE_SMDSOD-323:2A		10V			PMEG1020EA,115	568-6497-1-ND		
DIODE_SMDSOD-323:3A		10V	3A		PMEG1030EJ,115	568-4108-1-ND		
DIODE_SMD603:		30V	0.2A		CDBUR0230L	641-1139-1-ND		
2.93V		2.93V			TCM809SVLB713	TCM809SVLB713CT-ND		
RESISTORR_0603:100					ERJ-3GEYJ101V	P100GCT-ND		
RESISTORR_0603:2.2K					ERJ-3GEYJ222V	P2.2KGCT-ND		
RESISTORR_0603:10					ERJ-3GEYJ100V	P10GCT-ND		
RESISTORR_0603:50					ERJ-3GEYJ510V	P51GCT-ND		
RESISTORR_0603:330					ERJ-3GEYJ331V	P330GCT-ND		
RESISTORR_0603:100K					ERJ-3GEYJ104V	P100KGCT-ND		
RESISTORR_0603:10K					ERJ-3GEYJ103V	P10KGCT-ND		
RESISTORR_0603:1K					ERJ-3GEYJ102V	P1.0KGCT-ND		
RESISTORR_0603:0					ERJ-3GEY0R00V	P0.0GCT-ND		
RESISTORR_0603:390					ERJ-3GEYJ391V	P390GCT-ND		
RESISTORR_0603:220					ERJ-3GEYJ221V	P220GCT-ND		
RESISTORR_0603:6.8K					ERJ-3EKF6801V	P6.80KHCT-ND		
RESISTORR_0603:54.9K					ERJ-3EKF5492V	P54.9KHCT-ND		
RESISTORR_0603:52.3K					ERJ-3EKF5232V	P52.3KHCT-ND		
RESISTORR_0603:1.47K					ERJ-3EKF1471V	P1.47KHCT-ND		
CAPACITORC_0603:1uF					CC0603ZRY5V7BB105	311-1372-1-ND		
CAPACITORC_0603:0.1uF					UMK107BJ105KA-T	587-2400-1-ND		
CAPACITORC_0603:470p					C1608X7R1H471M	445-5076-1-ND		
CAPACITORC_0603:100p					C1608C0G1H101J	445-1281-1-ND		
CPOL-USE5-8.5:1mF					EEU-FR1C102L	P14397-ND		
LM5002					LM5002MA/NOPB	LM5002MA-ND		
INDUCTOR10X10MM:330uH					SRR1005-331K	SRR1005-331KCT-ND		
ADC128S102					ADC128S102CIMT/NOPB	ADC128S102CIMT-ND		
6N138SMD8					6N138S-TA1	160-1798-1-ND		
MAX4062					MAX4062EUB+	MAX4062EUB+-ND		
INDUCTOR0603:					MMZ1608R300A	445-2181-1-ND		
LED0805:					LTST-C171KGKT	160-1426-1-ND		
FLASH-SPI-25XXSMD1					MX25L6445EM2I-10G	1092-1065-ND		
RESISTORR_0603:22					ERJ-3GEYJ220V	P22GCT-ND		
SN74HCT541SOIC-20					SN74LS541DWR	296-3716-1-ND		
